"X" "Y" "Z"
"339" 15.659389 23.471535 32.433254
"340" 15.287354 23.141172 32.350544
"341" 15.749584 23.518732 32.808212
"342" 16.04834 23.825497 33.519505
"343" 15.557924 23.652452 33.411999
"344" 15.975064 23.786165 33.811745
"345" 15.676301 23.57379 33.442318
"346" 15.693211 23.471535 33.232784
"347" 16.273815 23.841234 33.756607
"348" 16.093433 24.132267 33.946842
"349" 16.285089 24.305309 34.261139
"350" 16.313274 24.45476 34.354881
"351" 16.014517 24.446898 34.263905
"352" 16.53875 25.115488 35.377716
"353" 16.905153 24.98177 35.482498
"354" 16.922064 25.123358 35.669971
"355" 17.023527 25.296396 35.849171
"356" 17.209547 25.304264 35.697536
"357" 17.451937 25.382927 35.31155
"358" 17.643589 25.46158 35.341099
"359" 17.784513 25.697554 35.697239
"360" 17.919804 25.744749 35.545403
"361" 18.370758 26.075115 36.000931
"362" 18.184738 25.8706 35.752457
"363" 18.111458 25.611036 35.393547
"364" 18.088909 25.917799 35.619949
"365" 18.398943 26.413343 35.879452
"366" 18.150919 26.295359 35.476364
"367" 18.635693 26.421209 36.103077
"368" 18.613146 26.562798 36.434372
"369" 18.742796 26.523464 36.486832
"370" 18.87244 26.924618 36.68285
"371" 18.601871 26.531328 37.083157
"372" 18.224194 26.287491 36.969971
"373" 18.274925 26.586384 36.88438
"374" 18.658239 27.1134 37.188068
"375" 17.942347 26.397615 35.691715
"376" 17.99308 26.468403 35.330063
"377" 18.472219 26.570663 35.826996
"378" 18.522949 26.602125 35.965031
"379" 18.573685 26.665051 36.390202
"380" 19.120468 27.168461 36.895447
"381" 19.345947 27.648273 37.177048
"382" 19.075367 27.380838 36.136215
"383" 19.565786 28.379791 37.083157
"384" 18.816074 27.632544 36.257679
"385" 19.019003 28.246075 36.88438
"386" 18.601871 28.041569 36.5807
"387" 18.979542 28.647232 37.569069
"388" 18.663874 27.962896 36.5807
"389" 18.827345 27.530289 36.818134
"390" 18.156551 26.932489 36.172089
"391" 17.339199 25.697554 34.476967
"392" 18.173468 26.318954 35.145077
"393" 18.179098 26.161634 35.238953
"394" 17.621044 25.091888 34.289246
"395" 17.835245 25.430119 34.797222
"396" 17.384295 24.792988 34.189835
"397" 17.699959 25.178411 34.998768
"398" 17.017889 24.549145 34.349968
"399" 17.226456 25.052561 34.943531
"400" 16.967161 25.115488 34.280952
"401" 17.277191 24.714329 33.841976
"402" 17.840885 25.406523 34.485252
"403" 17.677412 25.493042 34.758564
"404" 17.835245 25.099752 34.755806
"405" 17.761969 25.013233 34.990486
"406" 17.525219 24.541286 34.631565
"407" 17.745058 24.863785 35.194771
"408" 18.083271 25.123358 36.133453
"409" 17.902889 25.225611 36.199711
"410" 18.246742 25.382927 36.456451
"411" 17.767603 24.698603 35.481899
"412" 17.981808 24.942436 36.332226
"413" 17.852158 24.737928 36.321178
"414" 17.091171 24.604212 35.818714
"415" 16.459837 24.40757 34.89661
"416" 16.53875 24.383968 35.407349
"417" 16.459837 24.517685 35.633739
"418" 16.475752 24.619944 36.028542
"419" 16.929646 25.139082 36.94236
"420" 17.094698 25.56031 37.17979
"421" 17.112381 25.655863 37.563541
"422" 17.00038 25.63994 37.536983
"423" 17.165434 25.910673 37.642117
"424" 16.988592 25.576239 37.177322
"425" 16.965015 25.799192 37.75555
"426" 17.047537 25.910673 38.109673
"427" 16.558277 25.26569 36.944935
"428" 16.517019 24.907366 36.505058
"429" 16.369644 24.756077 36.131565
"430" 16.575966 24.819777 36.513359
"431" 16.823538 24.923296 36.408222
"432" 16.310701 24.525164 35.979401
"433" 16.587751 24.740149 36.651684
"434" 15.915754 24.071281 35.351391
"435" 15.703544 23.418343 34.07877
"436" 15.155334 22.74151 32.678867
"437" 15.379331 22.717623 32.750805
"438" 14.654283 22.582254 32.048092
"439" 14.677861 22.813173 31.954037
"440" 15.296807 23.553705 33.19899
"441" 15.791966 23.601484 32.941708
"442" 16.063122 23.553705 33.55312
"443" 15.833228 24.047396 33.766125
"444" 15.444176 24.087206 33.674843
"445" 15.845019 24.111099 33.597378
"446" 16.758699 24.620707 34.194958
